2024-12-05 00:03:41 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 40 of event: poko to the pool. Ticket number in the batch: 10
2024-12-05 00:03:43 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Thread:60 for vendor with ID:ABCD123 finished executing
2024-12-05 00:03:43 [Thread-9] INFO  c.h.ticketing_system.model.Vendor - Thread completed for Vendor ID: ABCD123 (Thread ID: 60)
2024-12-05 00:10:05 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Thread started for Vendor ID: ABCD123 with ticket batch size: 10 (Thread ID: 58)
2024-12-05 00:10:05 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:06 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 41 of event: jokk to the pool. Ticket number in the batch: 1
2024-12-05 00:10:08 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:08 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 42 of event: jokk to the pool. Ticket number in the batch: 2
2024-12-05 00:10:10 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:10 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 43 of event: jokk to the pool. Ticket number in the batch: 3
2024-12-05 00:10:12 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:12 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 44 of event: jokk to the pool. Ticket number in the batch: 4
2024-12-05 00:10:14 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:14 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 45 of event: jokk to the pool. Ticket number in the batch: 5
2024-12-05 00:10:16 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:16 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 46 of event: jokk to the pool. Ticket number in the batch: 6
2024-12-05 00:10:18 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:18 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 47 of event: jokk to the pool. Ticket number in the batch: 7
2024-12-05 00:10:20 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:20 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 48 of event: jokk to the pool. Ticket number in the batch: 8
2024-12-05 00:10:22 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:22 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 49 of event: jokk to the pool. Ticket number in the batch: 9
2024-12-05 00:10:24 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: jokk for Vendor: ABCD123
2024-12-05 00:10:24 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 50 of event: jokk to the pool. Ticket number in the batch: 10
2024-12-05 00:10:26 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Thread:58 for vendor with ID:ABCD123 finished executing
2024-12-05 00:10:26 [Thread-7] INFO  c.h.ticketing_system.model.Vendor - Thread completed for Vendor ID: ABCD123 (Thread ID: 58)
2024-12-05 07:15:11 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Thread started for Vendor ID: abod123 with ticket batch size: 15 (Thread ID: 59)
2024-12-05 07:15:11 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:12 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 51 of event: perok to the pool. Ticket number in the batch: 1
2024-12-05 07:15:14 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:14 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 52 of event: perok to the pool. Ticket number in the batch: 2
2024-12-05 07:15:16 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:16 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 53 of event: perok to the pool. Ticket number in the batch: 3
2024-12-05 07:15:18 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
